Year,Country,Exports (% of GDP),GDP (current US$),Government debt (% of GDP),Inflation (CPI),Unemployment rate
2000,Brazil,10.1880480043795,655448231983.527,,7.04414105947266,9.89500045776367
2000,Canada,44.209235821106,744773415931.587,58.7379742383571,2.71943995691976,6.8289999961853
2000,Ireland,94.3894577763648,100207610429.909,38.1423657943342,5.57763269940387,4.31799983978271
2000,United Kingdom,25.6598216491998,1665534876683.31,87.6021120106981,1.18295624210408,5.56199979782104
2000,United States,10.6927727297913,10250952000000.0,33.2676418736523,3.37685727149929,3.99200010299683
2001,Brazil,12.37171066993,559983634798.981,,6.84035902487523,9.60999965667725
2001,Canada,42.0399550909321,738981792355.372,57.4583564504362,2.52512013979906,7.2189998626709
2001,Ireland,95.2243824665404,109346669229.695,35.0072202143001,4.85280279607477,3.68300008773804
2001,United Kingdom,25.5471650372775,1649827263567.01,84.3649308327553,1.53234960272418,4.69500017166138
2001,United States,9.70344820873397,10581929000000.0,52.4430470096709,2.82617111885407,4.73099994659424
2002,Brazil,14.2305902713775,509795273806.715,,8.45016437708331,9.37100028991699
2002,Canada,40.0586585930818,760649334098.005,54.1491194927984,2.25839440940855,7.66499996185303
2002,Ireland,90.449477107344,128596035288.401,33.6801406645312,4.62820512820515,4.21500015258789
2002,United Kingdom,24.5103610004373,1785729916067.15,86.4005626809262,1.52040245947455,5.03700017929077
2002,United States,9.13138565379718,10929108000000.0,53.861925419714,1.58603162650601,5.78299999237061
2003,Brazil,15.1807837086861,558233745651.874,,14.7149197228147,9.99100017547607
2003,Canada,36.8659851985508,895540646634.787,51.2713370557453,2.75856321360112,7.57399988174438
2003,Ireland,80.8405915956942,164670771259.602,32.367301329372,3.49221909079765,4.47800016403198
2003,United Kingdom,24.0564905660977,2054422857142.86,86.6935169835672,1.37650038542013,4.80700016021729
2003,United States,9.03565240541354,11456450000000.0,56.2497806912263,2.27009497336115,5.98899984359741
2004,Brazil,16.5457615119353,669289424806.307,,6.59718509985963,9.10499954223633
2004,Canada,37.3277713060483,1026690238278.25,46.8009858324025,1.85725871857256,7.18499994277954
2004,Ireland,80.4755800800168,194372115041.065,30.8205907475294,2.17854605730523,4.49100017547607
2004,United Kingdom,24.0722889197868,2421525082387.4,90.5118335567506,1.39039756680422,4.5939998626709
2004,United States,9.62874787307988,12217196000000.0,56.6617331832934,2.67723669309172,5.52899980545044
2005,Brazil,15.2438292672646,891633839853.105,,6.86953720898964,9.56799983978271
2005,Canada,36.8567073235071,1173108598778.68,46.0616514241618,2.21355203439767,6.75799989700317
2005,Ireland,79.5276963895122,211876989655.907,30.773655409402,2.45654692931639,4.34200000762939
2005,United Kingdom,25.2715104711424,2543180000000.0,92.159207977986,2.0891364902507,4.75
